ID,Name,Dimension,Price,Type,SubType,Brand,ProductURL
I-0001,STICKAT,39x30cm,299,Bed,bed,IKEA,https://www.ikea.com/in/en/p/stickat-bed-pocket-black-60378339/
I-0002,KLIPSK,,599,Bed,bed,IKEA,https://www.ikea.com/in/en/p/klipsk-bed-tray-white-10289086/
I-0003,LÖVA,,799,Bed,bed,IKEA,https://www.ikea.com/in/en/p/loeva-bed-canopy-leaf-green-60542127/
I-0004,SUFFLETT,,899,Bed,bed,IKEA,https://www.ikea.com/in/en/p/sufflett-bed-tent-pink-60332469/
I-0005,RESGODS,,1209,Bed,bed,IKEA,https://www.ikea.com/in/en/p/resgods-bed-tray-bamboo-10444469/
I-0006,KURA,115x84cm,1396,Bed,bed,IKEA,https://www.ikea.com/in/en/p/kura-bed-curtain-multicolour-animals-on-the-savannah-70603219/
I-0007,VARDÖ,65x70cm,2500,Bed,bed,IKEA,https://www.ikea.com/in/en/p/vardoe-bed-storage-box-black-20354514/
I-0008,GRIMSBU,90x200cm,3490,Bed,bed,IKEA,https://www.ikea.com/in/en/p/grimsbu-bed-frame-grey-20458757/
I-0009,SONGESAND,42x40cm,3990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/songesand-bedside-table-brown-90367443/
I-0010,NODELAND,21x61x100cm,4000,Bed,bed,IKEA,https://www.ikea.com/in/en/p/nodeland-bed-storage-box-medium-brown-20496274/
I-0011,GRIMSBU,140x200cm,4990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/grimsbu-bed-frame-white-80458311/
I-0012,SONGESAND,,5000,Bed,bed,IKEA,https://www.ikea.com/in/en/p/songesand-bed-storage-box-set-of-2-white-10372537/
I-0013,GRIMSBU,90x200cm,5490,Bed,bed,IKEA,https://www.ikea.com/in/en/p/grimsbu-bed-frame-white-luroey-s39311930/
I-0014,VIHALS,90x200cm,6490,Bed,bed,IKEA,https://www.ikea.com/in/en/p/vihals-bed-frame-white-90602426/
I-0015,SLATTUM,90x200cm,6990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/slattum-upholstered-bed-frame-vissle-dark-grey-60571252/
I-0016,VEVELSTAD,90x200cm,6990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/vevelstad-bed-frame-white-20518271/
I-0017,VIHALS,90x200cm,8490,Bed,bed,IKEA,https://www.ikea.com/in/en/p/vihals-bed-frame-white-luroey-s99581858/
I-0018,GRIMSBU,140x200cm,8990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/grimsbu-bed-frame-grey-luroey-s19311931/
I-0019,VIHALS,160x200cm,9990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/vihals-bed-frame-white-40602443/
I-0020,NODELAND,160x200cm,9990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/nodeland-bed-frame-medium-brown-s29308527/
I-0021,MINNEN,80x200cm,9990,Bed,bed,IKEA,https://www.ikea.com/in/en/p/minnen-ext-bed-frame-with-slatted-bed-base-light-pink-s59418812/
